id,instrumentType,class,name@de,shortName@de,securityId,nominalCurrency,denomination,nominalAmount,issuerId,riskClass,payFreqPeriod,ultimateIssuer,outstandingShares,riskless,interestType,isCallable,maturityDate,lastCouponDate,duration,actInterestRate,contractSize,instrumentAmount,exercisePrice,exercisePriceCurr,repayPrice,repayPriceNotationType,repayPriceFactor,underlyingId,underlyingIds,isin,valorenNr,return,assetTotalAmount,vl_branche_cd,riskCurrency,rating,fondsTyp,titelDomizilCode,mainTradingPlace,factsheetURL,yourMoneyURL,rend_last,duration_last,pf_aal_segm_lnr,listTyp,vl_einsc_privan_cd,keType,szkbTopPick,lieferstelleNorwegen,tickerSymbol,reguDocEuURL,reguDocNonEuURL,szkbTopPickQualification@de,szkbTopPickQualDate,esg_rating,esg_rating_label,anlageuniversum
79698467297095,1,simpleBond,4.375 Nordic Investment Bank 23-30,4.375 Nordic Investment Bank 23-30,124941647,NZD,1000.0,,Nordic Inv Bk,,P6M,,,false,fixedinterest,false,2030-02-21,2025-02-21,4.3668767284,4.375,,,,,100.0,percentageprice,0.01,,,NZNIBDT013C2,124941647,,,1150,NZD,AAA,,354,3173,,,3.9562594279,4.2006866661,54055070079674,3,,60641431481455,,false,,,,,,920,920,8
76675247030538,1,simpleBond,0 Zürcher Kantonalbank 21-33,0 Zürcher Kantonalbank 21-33,58903094,CHF,5000.0,,Zuercher KB,,,,,false,fixedinterest,false,2033-01-21,,7.725,0.0,,,,,100.0,percentageprice,0.01,,,CH0589030946,58903094,,,1900,CHF,AAA,,1,4,,,0.7764617909,7.665480473,53389764593152,,,60641431481455,,false,ZKB149,,,,,930,930,
84503596153945,1,simpleBond,8.75 Oxford Lane Capital Corp 24-30,8.75 Oxford Lane Capital Corp 24-30,136497233,USD,1.0,25.0,Oxford Lane Cap,,P3M,,,false,fixedinterest,false,2030-06-30,2025-03-30,,8.75,,,,,,,,,,US6915438625,136497233,,,2400,USD,,,333,67,,,,,54055068979593,,,60641431481455,,false,OXLCI,,,,,940,940,
82619033798041,1,simpleBond,4.75 IBM 23-33,4.75 IBM 23-33,124788872,USD,1000.0,,IBM,,P6M,,,false,fixedinterest,false,2033-02-06,2025-02-06,6.5087684857,4.75,,,,,100.0,percentageprice,0.01,,,US459200KY61,124788872,,,2000,USD,A-,,333,186,,,4.9276126383,6.2031035702,54055068979593,,,60641431481455,,false,IBM5534364,,,,,940,940,
74931247184533,1,simpleBond,0.2 Münchener Hypothekenbank 21-31,0.2 Münchener Hypothekenbank 21-31,113193137,CHF,5000.0,,Muenchener Hypo,,P1Y,,,false,fixedinterest,false,2031-10-27,2024-10-27,6.4488119976,0.2,,,,,100.0,percentageprice,0.01,,,CH1131931375,113193137,,,1900,CHF,AAA,,44,4,,,0.7949584957,6.397950943,53389765193157,3,,60641431481455,,false,MUN217,,,,,920,920,8
53807331315986,2,simpleBond,0.375 Pfandbriefbank AG S.604 15-30,0.375 Pfandbriefbank AG S.604 15-30,26722231,CHF,5000.0,,Pfandbriefbank,,P1Y,,,false,fixedinterest,false,2030-01-21,2025-01-21,4.687713408,0.375,,,,,100.0,percentageprice,0.01,,,CH0267222310,26722231,,,1170,CHF,AAA,,1,4,,,0.4349643198,4.6674118319,53389764593152,3,,60641431481455,,false,PB604,,,,,920,920,8
66385939920287,1,simpleBond,0.5 Baloise-Holding AG 19-25,0.5 Baloise-Holding AG 19-25,45809797,CHF,5000.0,,Baloise Hldg,,P1Y,,,false,fixedinterest,false,2025-11-28,2024-11-28,0.5777777777,0.5,,,,,100.0,percentageprice,0.01,,,CH0458097976,45809797,,,1900,CHF,No Rating,,1,4,,,0.5168319499,0.5748069915,53389764593152,3,,60641431481455,,false,BAL190,,,,,920,920,8
70497245188118,1,simpleBond,3.75 Deutsche Bahn Finance GmbH 15-25,3.75 Deutsche Bahn Finance GmbH 15-25,30148851,AUD,5000.0,,DeutschBahnFin,,P1Y,,,false,fixedinterest,false,2025-10-29,2024-10-29,0.5,3.75,,,,,100.0,percentageprice,0.01,,,XS1306410249,30148851,,,1900,AUD,AA-,,44,186,,,4.2049757957,0.4798235364,54055070079674,3,,60641431481455,,false,AUD570,,,,,930,930,8
67673760197245,1,simpleBond,1 MercedesBenz Intl Fin S.56 Tr 1 18-25,1 MercedesBenz Intl Fin S.56 Tr 1 18-25,41686314,EUR,1000.0,,MercedesBenz,,P1Y,,,false,fixedinterest,false,2025-11-11,2024-11-11,0.5342465753,1.0,,,,,100.0,percentageprice,0.01,,,DE000A190NE4,41686314,,,1900,EUR,A,,730,186,,,2.3665704287,0.5218955495,54055068579565,3,,60641431481455,,false,,,,,,940,940,8
85523958454029,1,simpleBond,2.125 Mexikanische Staaten 21-51,2.125 Mexikanische Staaten 21-51,59441115,EUR,1000.0,,Mexiko,,P1Y,,,false,fixedinterest,false,2051-10-25,2024-10-25,17.5048559118,2.125,,,,,100.0,percentageprice,0.01,,,XS2289588167,59441115,,,1150,EUR,BBB,,628,186,,,5.5236633103,16.5885597245,54055068579565,,,60641431481455,,false,,,,,,950,950,
