currency,cross_rate,date
CHF,1.0,2025-04-29T22:00:00Z
ZAR,0.04423,2025-04-29T22:00:00Z
DEM,0.4788504113,2025-04-29T22:00:00Z
ARS,0.0007067842,2025-04-29T22:00:00Z
AUD,0.527059,2025-04-29T22:00:00Z
ATS,0.0680617428,2025-04-29T22:00:00Z
AED,0.224293,2025-04-29T22:00:00Z
BEF,0.023216468,2025-04-29T22:00:00Z
BRL,0.145631,2025-04-29T22:00:00Z
BGN,0.47964125,2025-04-29T22:00:00Z
CAD,0.59915,2025-04-29T22:00:00Z
CNY,0.113295,2025-04-29T22:00:00Z
CYP,1.6001902665,2025-04-29T22:00:00Z
KRW,0.00057494,2025-04-29T22:00:00Z
DKK,0.125061,2025-04-29T22:00:00Z
ESP,0.0056287788,2025-04-29T22:00:00Z
USD,0.823818,2025-04-29T22:00:00Z
FIM,0.1575164025,2025-04-29T22:00:00Z
INR,0.009734,2025-04-29T22:00:00Z
FRF,0.142776127,2025-04-29T22:00:00Z
GBP,1.098397,2025-04-29T22:00:00Z
GRD,0.0027484959,2025-04-29T22:00:00Z
HKD,0.106505,2025-04-29T22:00:00Z
HUF,0.0023200912,2025-04-29T22:00:00Z
MXN,0.0726,2025-04-29T22:00:00Z
IDR,4.92687e-05,2025-04-29T22:00:00Z
IEP,1.1891731973,2025-04-29T22:00:00Z
ISK,0.006428,2025-04-29T22:00:00Z
ILS,0.22724701,2025-04-29T22:00:00Z
ITL,0.0004836877,2025-04-29T22:00:00Z
JPY,0.005779,2025-04-29T22:00:00Z
LUF,0.023216468,2025-04-29T22:00:00Z
MYR,0.190915,2025-04-29T22:00:00Z
MTL,2.18159957,2025-04-29T22:00:00Z
NOK,0.07943,2025-04-29T22:00:00Z
NZD,0.488588,2025-04-29T22:00:00Z
PAB,1.2037,2025-04-29T22:00:00Z
NLG,0.4249878613,2025-04-29T22:00:00Z
PHP,0.01475,2025-04-29T22:00:00Z
PLN,0.21872,2025-04-29T22:00:00Z
PTE,0.0046714917,2025-04-29T22:00:00Z
RON,0.18756,2025-04-29T22:00:00Z
EUR,0.93655,2025-04-29T22:00:00Z
SGD,0.630395,2025-04-29T22:00:00Z
RUB,0.010077,2025-04-29T22:00:00Z
SEK,0.085545,2025-04-29T22:00:00Z
CZK,0.037421,2025-04-29T22:00:00Z
SKK,0.0310877647,2025-04-29T22:00:00Z
THB,0.024678,2025-04-29T22:00:00Z
TRY,0.021411,2025-04-29T22:00:00Z
XEU,1.50965,2025-04-29T22:00:00Z
EEK,14.6542012204,2025-04-29T22:00:00Z
LVL,1.3325905942,2025-04-29T22:00:00Z
UYU,0.941169,2025-04-29T22:00:00Z
SIT,0.0039081538,2025-04-29T22:00:00Z
KGS,867.5,2025-04-29T22:00:00Z
OZS,26.92,2025-04-29T22:00:00Z
KGG,87497.0,2025-04-29T22:00:00Z
OZG,2721.438735,2025-04-29T22:00:00Z
V10,113.0,2025-04-29T22:00:00Z
KRU,112.52,2025-04-29T22:00:00Z
OPL,800.7254,2025-04-29T22:00:00Z
OPA,771.9,2025-04-29T22:00:00Z
V20,223.295,2025-04-29T22:00:00Z
KPL,25822.0,2025-04-29T22:00:00Z
DEG,489.1768,2025-04-29T22:00:00Z
KPA,24998.0,2025-04-29T22:00:00Z
NAP,100.0,2025-04-29T22:00:00Z
MPL,495.04193,2025-04-29T22:00:00Z
SOV,127.0,2025-04-29T22:00:00Z
KR2,256.35,2025-04-29T22:00:00Z
KR4,128.15,2025-04-29T22:00:00Z
