id,name_de,sort_index_de,name@de,sortIndex@de
1,"Obligationen, Schuldbuchforderungen",1,"Obligationen, Schuldbuchforderungen",1
2,Pfandbriefe,2,Pfandbriefe,2
3,Optionsanleihen,3,Optionsanleihen,3
4,Notes,4,Notes,4
5,Zerobonds,5,Zerobonds,5
101,Aktien,6,Aktien,6
102,Partizipationsschein,7,Partizipationsschein,7
201,Kassenobligationen,8,Kassenobligationen,8
202,Deutsche Sparobligation,9,Deutsche Sparobligation,9
203,Banker's Acceptance,10,Banker's Acceptance,10
301,Coupons / Talons,11,Coupons / Talons,11
416,Diverse Hypoth. Schuldbriefarten,12,Diverse Hypoth. Schuldbriefarten,12
418,Namenschuldbrief,13,Namenschuldbrief,13
419,Hypothekarschuld Vorgang,14,Hypothekarschuld Vorgang,14
420,Inhaberschuldbrief,15,Inhaberschuldbrief,15
421,Eigentümerschuldbrief,16,Eigentümerschuldbrief,16
422,GpfV (Kapital),17,GpfV (Kapital),17
423,GpfV (Maximal),18,GpfV (Maximal),18
424,Inhaberobligation mit GpfV,19,Inhaberobligation mit GpfV,19
425,Gült,20,Gült,20
426,Zettel,21,Zettel,21
427,Deutsche Briefgrundschuld,22,Deutsche Briefgrundschuld,22
428,Deutsche Buchgrundschuld,23,Deutsche Buchgrundschuld,23
429,Leere Pfandstelle,24,Leere Pfandstelle,24
430,Inhaber (ohne Grundstück),25,Inhaber (ohne Grundstück),25
431,Deutsche Buchgrundschuld EUR,26,Deutsche Buchgrundschuld EUR,26
432,GpfV (Kapital ohne Grundstück),27,GpfV (Kapital ohne Grundstück),27
433,Darlehensvertrag,28,Darlehensvertrag,28
434,Nebengebühr Schuldbrief,29,Nebengebühr Schuldbrief,29
435,Registerschuldbrief,30,Registerschuldbrief,30
450,Testament,31,Testament,31
451,Schuldschein,32,Schuldschein,32
452,verschlossene Depositen,33,verschlossene Depositen,33
453,Wertgegenstand,34,Wertgegenstand,34
454,Dokumente,35,Dokumente,35
455,Diverse,36,Diverse,36
501,Versicherungspolice,37,Versicherungspolice,37
601,Hybride / Zertifikate ohne Zinskomponente,38,Hybride / Zertifikate ohne Zinskomponente,38
602,Hybride / mit Zinskomponente,39,Hybride / mit Zinskomponente,39
603,Hybride / Fonds ähnlich,40,Hybride / Fonds ähnlich,40
604,Hybride / Kreditederivate,41,Hybride / Kreditederivate,41
605,Strukt. Vorsorgeprodukte (standardisiert),42,Strukt. Vorsorgeprodukte (standardisiert),42
606,Strukt. Vorsorgeprodukte (individuell),43,Strukt. Vorsorgeprodukte (individuell),43
