id,ticker,trading_place_id,instrument_id,trading_currency,main,main_for_trading_currency,min_lot_amount,round_lot_amount,interest_calculation_type,pricing_notation_type,pricing_factor,dividend_yield
10012/201,,201,10012,CHF,True,True,1000.0,,flat,percentageprice,0.01,
10038/4411,UUN9,4411,10038,USD,True,True,,,flat,noconversion,1.0,
10042/4411,UUNA,4411,10042,CHF,True,True,,,flat,noconversion,1.0,1.067694
10043/4411,UUNB,4411,10043,CHF,True,True,,,flat,noconversion,1.0,0.568822
10044/4411,SWBINT,4411,10044,CHF,True,True,,,flat,noconversion,1.0,1.288339
10095/4,PEP86,4,10095,CHF,True,True,1000.0,,flat,percentageprice,0.01,
10142/999,,999,10142,CHF,True,True,,,flat,noconversion,1.0,
10153/2288,,2288,10153,CHF,True,True,,,flat,noconversion,1.0,
10155/4411,SWSW,4411,10155,CHF,True,True,,,flat,noconversion,1.0,
10188/190,UBMI,190,10188,CHF,True,True,,,flat,noconversion,1.0,0.953879
10189/512,UUNC,512,10189,USD,True,True,,,flat,noconversion,1.0,
10215/4411,SWBSFR,4411,10215,CHF,True,True,,,flat,noconversion,1.0,0.363658
10232/1174,BEAN,1174,10232,CHF,True,True,,,flat,noconversion,1.0,
10239/4411,UUN8,4411,10239,USD,True,True,,,flat,noconversion,1.0,2.327358
10257/4,ZG,4,10257,CHF,True,True,,,flat,noconversion,1.0,
10292/65,MRK,65,10292,USD,True,True,,,flat,noconversion,1.0,
10293/2779,NKE,2779,10293,EUR,False,True,,,flat,noconversion,1.0,2.716052
10293/65,NKE,65,10293,USD,True,True,,,flat,noconversion,1.0,2.730496
10313/4,BHP,4,10313,CHF,True,True,,,flat,noconversion,1.0,
10315/1174,CSCO,1174,10315,CHF,False,True,,,flat,noconversion,1.0,2.809105
10315/13,CSCO,13,10315,EUR,False,True,,,flat,noconversion,1.0,2.813839
10315/67,CSCO,67,10315,USD,True,True,,,flat,noconversion,1.0,2.788845
10319/1174,MSFT,1174,10319,CHF,False,True,,,flat,noconversion,1.0,0.816646
10319/13,MSFT,13,10319,EUR,False,True,,,flat,noconversion,1.0,0.807798
10319/67,MSFT,67,10319,USD,True,True,,,flat,noconversion,1.0,0.799474
10372/999,,999,10372,CHF,True,True,,,flat,noconversion,1.0,
10374/4,VALNz,4,10374,CHF,True,True,,,flat,noconversion,1.0,
10394/1288,,1288,10394,CHF,True,True,,,flat,noconversion,1.0,
10399/466,,466,10399,CHF,True,True,,,flat,noconversion,1.0,
10400/380,CIBN,380,10400,CHF,True,True,,,flat,noconversion,1.0,
10423/201,,201,10423,CHF,True,True,1000.0,,flat,percentageprice,0.01,
10429/466,,466,10429,CHF,True,True,,,flat,noconversion,1.0,
10431/2288,,2288,10431,CHF,True,True,,,flat,noconversion,1.0,
10432/466,,466,10432,CHF,True,True,,,flat,noconversion,1.0,
10433/201,,201,10433,CHF,True,True,,,flat,noconversion,1.0,
10435/466,,466,10435,CHF,True,True,,,flat,noconversion,1.0,
10438/466,,466,10438,CHF,True,True,,,flat,noconversion,1.0,
10439/466,,466,10439,CHF,True,True,,,flat,noconversion,1.0,
10440/466,,466,10440,CHF,True,True,,,flat,noconversion,1.0,
10444/4411,SWEU,4411,10444,EUR,True,True,,,flat,noconversion,1.0,1.699256
10477/201,,201,10477,CHF,True,True,1000.0,,flat,percentageprice,0.01,
10540/4,SNBN,4,10540,CHF,True,True,,,flat,noconversion,1.0,0.455927
10545/250,,250,10545,CHF,True,True,,,flat,percentageprice,0.01,
10548/250,,250,10548,CHF,True,True,,,flat,percentageprice,0.01,
10549/250,,250,10549,CHF,True,True,,,flat,percentageprice,0.01,
10551/250,,250,10551,CHF,True,True,,,flat,noconversion,1.0,
10560/250,,250,10560,CHF,True,True,,,flat,percentageprice,0.01,
10562/250,,250,10562,CHF,True,True,,,flat,percentageprice,0.01,
10563/254,,254,10563,CHF,True,True,,,flat,noconversion,1.0,
10564/201,,201,10564,CHF,True,True,,,flat,noconversion,1.0,
10565/466,,466,10565,CHF,True,True,,,flat,noconversion,1.0,1.132075
10676/4411,,4411,10676,CHF,True,True,,,flat,noconversion,1.0,
10677/4411,,4411,10677,CHF,True,True,,,flat,noconversion,1.0,
10693/254,,254,10693,CHF,True,True,,,flat,noconversion,1.0,
10704/4411,UUN7,4411,10704,USD,True,True,,,flat,noconversion,1.0,1.41279
10711/4,OERL,4,10711,CHF,True,True,,,flat,noconversion,1.0,5.727377
10730/111,ALK,111,10730,AUD,True,True,,,flat,noconversion,1.0,
10795/4,WARN,4,10795,CHF,True,True,,,flat,noconversion,1.0,3.626943
10796/176,GDU,176,10796,CHF,True,True,,,flat,noconversion,1.0,
10897/4,MIKN,4,10897,CHF,True,True,,,flat,noconversion,1.0,3.125
10937/4,RIEN,4,10937,CHF,True,True,,,flat,noconversion,1.0,2.857143
10960/176,CHF20VR,176,10960,CHF,True,True,,,flat,noconversion,1.0,
10962/466,,466,10962,CHF,True,True,,,flat,noconversion,1.0,
10963/250,,250,10963,CHF,True,True,,,flat,percentageprice,0.01,
11031/203,IHSN,203,11031,CHF,True,True,,,flat,noconversion,1.0,
11043/44,KSB3,44,11043,EUR,True,True,,,flat,noconversion,1.0,3.274314
11084/190,UBCH,190,11084,CHF,True,True,,,flat,noconversion,1.0,1.86969
11089/14,ARO,14,11089,EUR,True,True,,,flat,noconversion,1.0,
11104/1174,INTC,1174,11104,CHF,False,True,,,flat,noconversion,1.0,2.534669
11104/13,INTC,13,11104,EUR,False,True,,,flat,noconversion,1.0,2.511221
11104/67,INTC,67,11104,USD,True,True,,,flat,noconversion,1.0,2.487562
11162/254,CNE,254,11162,CAD,True,True,,,flat,noconversion,1.0,
11206/254,CVDGF,254,11206,USD,True,True,,,flat,noconversion,1.0,
11228/254,TRXGF,254,11228,USD,True,True,,,flat,noconversion,1.0,
11237/254,PIHHF,254,11237,CAD,True,True,,,flat,noconversion,1.0,
11240/63,MJS,63,11240,CAD,True,True,,,flat,noconversion,1.0,5.6
11315/254,GHE,254,11315,USD,True,True,,,flat,noconversion,1.0,
11432/1174,AAPL,1174,11432,CHF,False,True,,,flat,noconversion,1.0,0.474998
11432/13,AAPL,13,11432,EUR,False,True,,,flat,noconversion,1.0,0.467889
11432/67,AAPL,67,11432,USD,True,True,,,flat,noconversion,1.0,0.627436
11440/201,,201,11440,CHF,True,True,1000.0,,flat,percentageprice,0.01,
11441/201,,201,11441,CHF,True,True,1000.0,,flat,percentageprice,0.01,
11446/4,FOC,4,11446,CHF,True,True,,,flat,noconversion,1.0,3.377319
11525/466,,466,11525,CHF,True,True,,,flat,noconversion,1.0,
11529/67,HSIC,67,11529,USD,True,True,,,flat,noconversion,1.0,
11558/250,,250,11558,CHF,True,True,,,flat,percentageprice,0.01,
11565/466,,466,11565,CHF,True,True,,,flat,noconversion,1.0,
11570/1174,BMW,1174,11570,CHF,False,True,,,flat,noconversion,1.0,8.078582
11570/44,BMW,44,11570,EUR,True,True,,,flat,noconversion,1.0,8.07537
11621/201,BIG,201,11621,CHF,True,True,,,flat,noconversion,1.0,
11643/201,,201,11643,CHF,True,True,,,flat,noconversion,1.0,
11644/201,,201,11644,CHF,True,True,,,flat,noconversion,1.0,
11645/201,,201,11645,CHF,True,True,,,flat,noconversion,1.0,
11646/201,,201,11646,CHF,True,True,,,flat,noconversion,1.0,
11647/201,,201,11647,CHF,True,True,,,flat,noconversion,1.0,
11648/201,,201,11648,CHF,True,True,,,flat,noconversion,1.0,
11649/201,,201,11649,CHF,True,True,,,flat,noconversion,1.0,
11650/201,,201,11650,CHF,True,True,,,flat,noconversion,1.0,
11653/250,,250,11653,CHF,True,True,,,flat,percentageprice,0.01,
11654/999,,999,11654,CHF,True,True,,,flat,noconversion,1.0,
11655/999,,999,11655,CHF,True,True,,,flat,noconversion,1.0,
11657/201,,201,11657,CHF,True,True,,,flat,noconversion,1.0,
11682/250,,250,11682,CHF,True,True,,,flat,percentageprice,0.01,
11687/201,,201,11687,CHF,True,True,,,flat,noconversion,1.0,
11688/2288,,2288,11688,CHF,True,True,,,flat,noconversion,1.0,
11693/201,,201,11693,CHF,True,True,,,flat,noconversion,1.0,
11694/201,,201,11694,CHF,True,True,,,flat,noconversion,1.0,
11703/250,,250,11703,CHF,True,True,,,flat,percentageprice,0.01,
11706/250,,250,11706,CHF,True,True,,,flat,percentageprice,0.01,
11733/244,,244,11733,CHF,True,True,,,flat,noconversion,1.0,
11738/201,,201,11738,CHF,True,True,,,flat,noconversion,1.0,
11745/250,,250,11745,CHF,True,True,,,flat,percentageprice,0.01,
11761/466,CHAM,466,11761,CHF,True,True,,,flat,noconversion,1.0,1.345291
11782/254,,254,11782,CHF,True,True,,,flat,noconversion,1.0,
11822/250,,250,11822,CHF,True,True,,,flat,percentageprice,0.01,
11894/466,,466,11894,CHF,True,True,,,flat,noconversion,1.0,
11895/254,,254,11895,CHF,True,True,,,flat,noconversion,1.0,
11902/176,CHF10VR,176,11902,CHF,True,True,,,flat,noconversion,1.0,
11909/999,,999,11909,CHF,True,True,,,flat,noconversion,1.0,
11985/201,,201,11985,CHF,True,True,,,flat,noconversion,1.0,
12043/201,,201,12043,CHF,True,True,,,flat,noconversion,1.0,
12082/4,LINN,4,12082,CHF,True,True,,,flat,noconversion,1.0,
12098/2288,,2288,12098,CHF,True,True,,,flat,noconversion,1.0,
12578/380,SIK,380,12578,CHF,True,True,,,flat,noconversion,1.0,
12617/201,,201,12617,CHF,True,True,,,flat,noconversion,1.0,
12643/2288,,2288,12643,CHF,True,True,,,flat,noconversion,1.0,
12645/250,,250,12645,CHF,True,True,,,flat,percentageprice,0.01,
12689/201,,201,12689,CHF,True,True,,,flat,noconversion,1.0,
12690/201,,201,12690,CHF,True,True,,,flat,noconversion,1.0,
12691/201,,201,12691,CHF,True,True,,,flat,noconversion,1.0,
12711/4,RLD,4,12711,CHF,True,True,,,flat,noconversion,1.0,
12748/4,VLRT,4,12748,CHF,True,True,,,flat,noconversion,1.0,
12754/4,HLEE,4,12754,CHF,True,True,,,flat,noconversion,1.0,
12760/349,CRE,349,12760,USD,True,True,,,flat,noconversion,1.0,
12782/65,BMY,65,12782,USD,True,True,,,flat,noconversion,1.0,4.860558
12983/4,ROL,4,12983,CHF,True,True,,,flat,noconversion,1.0,
