instrument_id,listing_id,quote,quote_date
10012,201,100.0,2025-04-29T22:00:00Z
10038,4411,1011.8423,2025-04-29T10:40:00Z
10042,4411,908.5004,2025-04-29T10:40:00Z
10043,4411,474.6648,2025-04-29T10:40:00Z
10044,4411,58.2145,2025-04-29T10:40:00Z
1006670,44,116.3,2025-04-30T15:35:00Z
10095,4,41.95,2025-04-30T15:00:00Z
10142,999,109.0,2018-01-31T10:22:41Z
10153,2288,285.0,2018-01-31T10:21:35Z
10188,190,3350.53,2025-04-29T18:05:00Z
10215,4411,96.2442,2025-04-29T10:40:00Z
10239,4411,112.1357,2025-04-28T10:40:00Z
10293,2779,49.875,2025-04-30T19:58:00Z
10293,65,56.4,2025-04-30T14:15:00Z
10315,1174,47.216,2025-04-30T15:29:00Z
10315,13,50.33,2025-04-30T16:45:00Z
10315,67,57.73,2025-04-30T14:30:00Z
10319,1174,318.775,2025-04-30T16:00:00Z
10319,13,344.1,2025-04-30T19:31:00Z
10319,67,395.26,2025-04-30T14:30:00Z
10372,999,25.0,2018-01-31T10:23:46Z
10423,201,100.0,2025-04-29T22:00:00Z
10429,466,80.0,2025-04-30T06:30:00Z
10432,466,1175.0,2025-04-30T06:30:00Z
10435,466,120.0,2025-04-30T06:30:00Z
10440,466,8.0,2025-04-30T06:30:00Z
10444,4411,191.6505,2025-04-29T10:40:00Z
10477,201,100.0,2025-04-29T22:00:00Z
10540,4,3290.0,2025-04-30T15:30:00Z
10545,250,100.0,2009-11-20T05:00:00Z
10548,250,100.0,2009-11-20T05:00:00Z
10549,250,100.0,2009-11-20T05:00:00Z
10551,250,1000.0,2009-11-20T05:00:00Z
10560,250,100.0,2009-11-20T05:00:00Z
10562,250,100.0,2009-11-20T05:00:00Z
10563,254,0.0,1999-02-09T14:27:00Z
10564,201,0.0,1599-12-31T23:25:52Z
10565,466,26.5,2025-04-30T14:58:00Z
10676,4411,286.51,2025-04-29T10:40:00Z
10677,4411,251.24,2025-04-29T10:40:00Z
10693,254,0.0,1993-08-24T22:00:00Z
10704,4411,193.1227,2025-04-29T10:40:00Z
10711,4,3.492,2025-04-30T15:30:00Z
10795,4,1930.0,2025-04-30T15:30:00Z
10796,176,87497.0,2025-04-30T15:00:00Z
10897,4,16.0,2025-04-30T15:30:00Z
10937,4,70.0,2025-04-30T15:30:00Z
10960,176,522.5,2025-04-30T21:51:00Z
10963,250,100.0,2009-11-20T05:00:00Z
11043,44,802.0,2025-04-30T15:35:00Z
11084,190,1531.27,2025-04-29T18:05:00Z
11089,14,0.0045,2025-04-30T06:18:00Z
11104,1174,16.251,2025-04-30T16:00:00Z
11104,13,17.514,2025-04-30T17:49:00Z
11104,67,20.1,2025-04-30T14:30:00Z
11162,254,0.0,2005-12-20T09:52:43Z
11206,254,0.0,2008-12-11T13:56:50Z
11228,254,0.0,2009-12-16T19:52:00Z
11237,254,0.0,1999-12-30T23:00:00Z
11240,63,0.125,2025-04-30T15:00:00Z
11315,254,0.0,2005-12-20T10:06:55Z
11432,1174,173.436,2025-04-30T16:00:00Z
11432,13,188.0,2025-04-30T19:56:00Z
11432,67,212.5,2025-04-30T14:30:00Z
11440,201,100.0,2025-04-29T22:00:00Z
11441,201,100.0,2025-04-29T22:00:00Z
11446,4,149.2,2025-04-30T15:30:00Z
11558,250,100.0,2009-11-20T05:00:00Z
11565,466,50.0,2025-04-30T06:30:00Z
11570,1174,69.558,2025-04-30T16:00:00Z
11570,44,74.3,2025-04-30T15:38:00Z
11643,201,0.0,1599-12-31T23:25:52Z
11644,201,0.0,1599-12-31T23:25:52Z
11645,201,0.0,1599-12-31T23:25:52Z
11646,201,0.0,1599-12-31T23:25:52Z
11647,201,0.0,1599-12-31T23:25:52Z
11648,201,0.0,1599-12-31T23:25:52Z
11649,201,0.0,1599-12-31T23:25:52Z
11650,201,0.0,1599-12-31T23:25:52Z
11653,250,100.0,2009-11-20T05:00:00Z
11654,999,0.0,1599-12-31T23:25:52Z
11655,999,0.0,1599-12-31T23:25:52Z
11657,201,0.0,1599-12-31T23:25:52Z
11682,250,100.0,2009-11-20T05:00:00Z
11687,201,500.0,2018-01-31T10:20:18Z
11688,2288,1000.0,2018-01-31T10:20:55Z
11693,201,0.0,1599-12-31T23:25:52Z
11694,201,0.0,1599-12-31T23:25:52Z
11703,250,100.0,2009-11-20T05:00:00Z
11706,250,100.0,2009-11-20T05:00:00Z
11733,244,1190.0,2018-01-31T10:23:07Z
11738,201,0.0,1599-12-31T23:25:52Z
11745,250,100.0,2009-11-20T05:00:00Z
11782,254,0.0,2000-03-29T14:18:00Z
11822,250,100.0,2009-11-20T05:00:00Z
11895,254,0.0,1996-08-21T13:39:00Z
11902,176,250.0,2025-04-30T21:51:00Z
11909,999,57.0,2018-01-31T10:22:05Z
11918645759800,1174,112.144,2025-04-30T15:29:00Z
11918645759800,2779,120.42,2025-04-30T19:53:00Z
11918645759800,65,136.06,2025-04-30T14:15:00Z
11920605460763,3230,44.07,2025-04-30T10:45:00Z
11985,201,350.0,2018-01-10T23:00:00Z
11989541658090,466,200.0,2025-04-30T06:30:00Z
120047982956,67,62.66,2025-04-30T14:30:00Z
12032615072124,845,406.69,2025-04-30T14:07:00Z
120408909845,25,45.6,2025-04-30T15:55:00Z
12043,201,100.0,2018-01-31T10:18:32Z
12048001660839,25,95.22,2025-04-30T15:55:00Z
12075816728408,301,81.96,2023-11-29T18:05:00Z
12098,2288,500.0,2018-01-31T10:32:12Z
12197099916752,4411,207.18,2025-04-29T10:40:00Z
12197134516792,4411,303.73,2025-04-29T10:40:00Z
12202963567231,4411,81.7914,2025-04-29T10:40:00Z
122292467516,2779,84.34,2025-04-30T19:59:00Z
122292467516,65,95.3,2025-04-30T14:15:00Z
122478036797,111,32.84,2025-04-30T14:10:00Z
12255753091851,349,532.3,2025-04-30T15:36:00Z
12255753091851,4,435.4,2025-04-30T14:19:00Z
122561788648,67,148.46,2025-04-30T14:30:00Z
12256547092224,2779,2.04,2025-04-30T15:50:00Z
12256547092224,361,1.738,2025-04-30T14:35:00Z
12263384830933,706,60.0615,2025-04-29T22:00:00Z
12265794442591,4,235.0,2025-04-30T15:30:00Z
12273995373858,466,5.5,2025-04-30T06:30:00Z
12289162932050,25,10.36,2025-04-30T15:55:00Z
12289354432140,3233,245.09,2025-04-29T12:15:00Z
12351666036038,2779,53.637,2025-04-30T16:18:00Z
12351666036038,431,59.9,2025-04-29T22:00:00Z
12393875218409,365,0.0,2025-04-10T09:18:55Z
12410823923068,1174,20.999,2025-04-30T15:29:00Z
12410823923068,44,22.57,2025-04-30T15:36:00Z
12411866823737,4,0.755,2025-04-28T12:56:00Z
12436077788322,6,33.38,2025-04-30T15:55:00Z
12437868689033,1174,48.672,2025-04-30T15:29:00Z
12437868689033,351,52.17,2025-04-30T15:36:00Z
124390705978,106,2397.5,2025-04-30T13:30:00Z
124390705978,13,14.61,2025-04-30T06:02:00Z
